,mass_wrt_earth,radius_wrt_earth,planet_type
314,13.02,3.597,Neptune-like
315,5.63,2.2,Neptune-like
316,6.624,2.42,Neptune-like
317,6264.599999999999,16.169999999999998,Gas Giant
318,6360.0,33.0,Gas Giant
319,5088.0,19.8,Gas Giant
320,3593.4,13.915,Gas Giant
321,26.69772,4.279,Neptune-like
322,731.4,13.09,Gas Giant
323,67.098,10.549,Gas Giant
324,270.618,13.992,Gas Giant
325,4541.04,12.100000000000001,Gas Giant
326,1093.92,15.62,Gas Giant
327,616.92,11.66,Gas Giant
328,1333.3739999999998,14.178999999999998,Gas Giant
329,184.44,11.55,Gas Giant
330,1081.2,12.87,Gas Giant
331,62.646,10.945,Gas Giant
332,92.856,12.451999999999998,Gas Giant
333,166.95000000000002,14.509,Gas Giant
334,2304.228,9.536999999999999,Gas Giant
335,1548.66,12.21,Gas Giant
336,785.46,12.649999999999999,Gas Giant
337,426.12,11.99,Gas Giant
338,238.5,14.3,Gas Giant
339,180.94199999999998,12.485,Gas Giant
340,22.2481,6.93,Neptune-like
341,197.16,11.22,Gas Giant
342,199.068,13.331999999999999,Gas Giant
343,279.84,12.87,Gas Giant
344,2766.6,10.461,Gas Giant
345,263.94,15.84,Gas Giant
346,721.86,11.99,Gas Giant
347,216.24,21.78,Gas Giant
348,292.56,20.35,Gas Giant
349,1058.94,13.167000000000002,Gas Giant
350,335.808,14.652000000000001,Gas Giant
351,587.7276,14.046999999999999,Gas Giant
352,371.742,12.957999999999998,Gas Giant
353,84.906,9.075,Gas Giant
354,190.482,17.281,Gas Giant
355,206.70000000000002,10.34,Gas Giant
356,152.64,16.72,Gas Giant
357,378.41999999999996,22.549999999999997,Gas Giant
358,331.992,14.08,Gas Giant
359,210.51600000000002,13.376,Gas Giant
360,111.93599999999999,13.661999999999999,Gas Giant
361,1272.0,12.76,Gas Giant
362,283.656,15.686,Gas Giant
363,156.774,14.124,Gas Giant
364,699.6,17.490000000000002,Gas Giant
365,213.37800000000001,14.014,Gas Giant
366,429.3,14.168000000000001,Gas Giant
367,98.262,14.222999999999999,Gas Giant
368,260.12399999999997,11.098999999999998,Gas Giant
369,471.912,14.498000000000001,Gas Giant
370,241.68,10.384,Gas Giant
371,185.076,13.001999999999999,Gas Giant
372,734.58,16.61,Gas Giant
373,448.38,19.14,Gas Giant
374,118.29599999999999,14.652000000000001,Gas Giant
375,489.72,12.353,Gas Giant
376,311.64,13.309999999999999,Gas Giant
377,182.53199999999998,17.941,Gas Giant
378,336.126,9.889,Gas Giant
379,241.998,11.802999999999999,Gas Giant
380,195.252,12.309,Gas Giant
381,184.44,18.733,Gas Giant
382,167.586,20.79,Gas Giant
383,248.994,17.490000000000002,Gas Giant
384,108.12,22.935,Gas Giant
385,230.232,11.792000000000002,Gas Giant
386,1138.44,18.436,Gas Giant
387,419.76000000000005,16.28,Gas Giant
388,2156.04,20.57,Gas Giant
389,585.12,16.61,Gas Giant
390,407.04,15.399999999999999,Gas Giant
391,238.182,15.323,Gas Giant
392,167.268,10.658999999999999,Gas Giant
393,263.94,17.698999999999998,Gas Giant
394,760.0200000000001,7.611999999999999,Gas Giant
395,172.674,13.331999999999999,Gas Giant
396,340.578,11.428999999999998,Gas Giant
397,690.06,12.155,Gas Giant
398,1039.86,14.3,Gas Giant
399,425.48400000000004,8.547,Gas Giant
400,629.481,14.619,Gas Giant
401,589.89,14.322000000000001,Gas Giant
402,871.32,10.482999999999999,Gas Giant
403,467.46,20.46,Gas Giant
404,718.68,15.345,Gas Giant
405,194.934,13.86,Gas Giant
406,206.70000000000002,19.25,Gas Giant
407,168.54000000000002,16.5,Gas Giant
408,213.69600000000003,13.134,Gas Giant
409,207.654,13.761,Gas Giant
410,427.71,12.847999999999999,Gas Giant
411,224.50799999999998,12.925,Gas Giant
412,279.84,18.04,Gas Giant
413,292.56,13.739,Gas Giant
414,379.056,13.53,Gas Giant
415,299.238,15.729999999999999,Gas Giant
416,388.596,16.104,Gas Giant
417,1022.6880000000001,12.683,Gas Giant
418,31.46517,6.6659999999999995,Neptune-like
419,23.51942,6.754,Neptune-like
420,200.34,17.27,Gas Giant
421,340.578,15.191,Gas Giant
422,505.62,17.380000000000003,Gas Giant
423,3084.6,14.63,Gas Giant
424,597.8399999999999,15.399999999999999,Gas Giant
425,82.998,12.979999999999999,Gas Giant
