,distance,stellar_magnitude,mass_wrt_earth,radius_wrt_earth,orbital_radius,orbital_period,star_mass,planet_type
185,683.0,11.277,259.806,14.542000000000002,0.0467,0.010130048,7.672008266315798e+18,Gas Giant
186,130.0,1.99509,2792.04,12.32,1.19,1.173169,572019601824593.5,Gas Giant
187,46.0,3.23006,2989.2000000000003,12.32,2.05,2.5,125965626552956.27,Gas Giant
188,155.0,3.90672,324.36,13.53,1.24,1.1367557,609253155819608.6,Gas Giant
189,155.0,3.90672,1456.44,12.649999999999999,2.17,2.6,116462302656209.53,Gas Giant
190,135.0,3.69252,426.12,13.42,1.32,1.5,349904518202656.3,Gas Giant
191,16.0,13.76,1.08,1.03,0.0457,0.028199865,743806474827628.9,Super Earth
192,16.0,13.76,1.36,1.1,0.0738,0.05804244,175575005558876.4,Super Earth
193,12.0,12.7,1.37,1.1,0.021,0.008761123,7706096761549208.0,Super Earth
194,12.0,12.7,1.74,1.18,0.035,0.0183436,1757862371610989.2,Super Earth
195,12.0,12.7,1.64,1.16,0.054,0.03559206,466925683656730.9,Super Earth
196,41.0,13.68,1.66,1.13,0.0153,0.0043805614,3.082438845352272e+16,Super Earth
197,41.0,13.68,2.64,1.43,0.0476,0.02436687,996218312022139.9,Super Earth
198,36.0,11.939,96.75150000000001,11.770000000000001,0.166,0.113347024,6.127902189342858e+16,Gas Giant
199,36.0,11.939,68.09652,9.526,0.912,1.5,349904518202656.3,Gas Giant
200,26.0,13.76,10.62,3.19,0.5714,1.0669404,691594846290196.2,Neptune-like
201,48.0,15.1,8.17,2.695,0.0149,0.0043805614,4.102726103163874e+19,Neptune-like
202,66.0,12.68,1.32,1.18,0.00915,0.0013689254,3.156417550572946e+17,Super Earth
203,33.0,14.01,7.4,2.5740000000000003,0.026,0.010130048,7.672008266315798e+18,Neptune-like
204,53.0,8.08,22.7,2.563,0.1915,0.09746748,8.287291083134176e+16,Neptune-like
205,12.0,8.09,3.03,1.55,0.072,0.031211497,607190285350108.6,Super Earth
